,time,dire_win
14,10,0.0
11,15,0.375
10,20,0.16666666666666666
2,25,0.26666666666666666
4,30,0.3793103448275862
3,35,0.45714285714285713
7,40,0.5789473684210527
1,45,0.4864864864864865
5,50,0.6551724137931034
8,55,0.5652173913043478
6,60,0.5
0,65,0.75
13,70,0.6666666666666666
9,75,1.0
12,80,1.0
