hero,win,win_rate,kda,count,pick,ban,other,pick_rate,ban_rate,other_rate
Silencer,36,0.514285714,2.917384818,70,70,114,217,0.174563591,0.284289277,0.541147132
Magnus,19,0.558823529,3.849329429,34,34,37,330,0.08478803,0.092269327,0.822942643
Clinkz,28,0.482758621,5.728489327,58,58,61,282,0.144638404,0.152119701,0.703241895
Storm Spirit,29,0.483333333,4.827383357,60,60,57,284,0.149625935,0.142144638,0.708229426
Crystal Maiden,30,0.508474576,2.442578467,59,59,40,302,0.14713217,0.099750623,0.753117207
Templar Assassin,29,0.568627451,4.886575135,51,51,76,274,0.127182045,0.189526185,0.683291771
Vengeful Spirit,49,0.538461538,2.546026702,91,91,37,273,0.226932668,0.092269327,0.680798005
Necrophos,25,0.438596491,3.569770848,57,57,114,230,0.142144638,0.284289277,0.573566085
Earth Spirit,12,0.52173913,3.20963125,23,23,4,374,0.057356608,0.009975062,0.932668329
Drow Ranger,30,0.681818182,4.931914109,44,44,85,272,0.109725686,0.211970075,0.678304239
Terrorblade,9,0.473684211,4.240246449,19,19,11,371,0.047381546,0.027431421,0.925187032
Kunkka,19,0.487179487,5.323656899,39,39,45,317,0.097256858,0.112219451,0.790523691
Batrider,16,0.615384615,4.006635032,26,26,23,352,0.064837905,0.057356608,0.877805486
Ember Spirit,34,0.515151515,4.706006494,66,66,67,268,0.164588529,0.167082294,0.668329177
Zeus,14,0.5,4.377811276,28,28,19,354,0.069825436,0.047381546,0.882793017
Gyrocopter,22,0.47826087,5.141308269,46,46,19,336,0.114713217,0.047381546,0.837905237
Sand King,21,0.428571429,2.258968243,49,49,18,334,0.122194514,0.044887781,0.832917706
Warlock,44,0.556962025,2.547796016,79,79,52,270,0.197007481,0.12967581,0.673316708
Doom,15,0.405405405,3.608580009,37,37,28,336,0.092269327,0.069825436,0.837905237
Skywrath Mage,29,0.439393939,2.433468611,66,66,38,297,0.164588529,0.094763092,0.740648379
Lycan,28,0.608695652,5.975163906,46,46,151,204,0.114713217,0.376558603,0.50872818
Naga Siren,28,0.5,3.472763992,56,56,119,226,0.139650873,0.296758105,0.563591022
Monkey King,8,0.363636364,2.765495868,22,22,23,356,0.054862843,0.057356608,0.887780549
Elder Titan,22,0.448979592,3.569733101,49,49,32,320,0.122194514,0.079800499,0.798004988
Alchemist,13,0.464285714,4.156922542,28,28,34,339,0.069825436,0.08478803,0.845386534
Beastmaster,35,0.555555556,3.198620559,63,63,68,270,0.157107232,0.16957606,0.673316708
Arc Warden,6,0.461538462,3.216819292,13,13,24,364,0.032418953,0.059850374,0.907730673
Lion,11,0.47826087,1.720439947,23,23,3,375,0.057356608,0.007481297,0.935162095
Lich,9,0.473684211,3.244469346,19,19,8,374,0.047381546,0.019950125,0.932668329
Weaver,37,0.578125,6.461414931,64,64,117,220,0.159600998,0.291770574,0.548628429
Dark Willow,40,0.519480519,3.826291421,77,77,41,283,0.19201995,0.102244389,0.705735661
Ogre Magi,11,0.47826087,2.987016797,23,23,7,371,0.057356608,0.017456359,0.925187032
Chaos Knight,4,0.5,5.214069264,8,8,4,389,0.019950125,0.009975062,0.970074813
Venomancer,16,0.551724138,3.69474735,29,29,28,344,0.072319202,0.069825436,0.857855362
Tiny,32,0.4,4.84850469,80,80,95,226,0.199501247,0.236907731,0.563591022
Bane,31,0.455882353,1.995792594,68,68,50,283,0.16957606,0.124688279,0.705735661
Timbersaw,4,0.571428571,3.683673469,7,7,8,386,0.017456359,0.019950125,0.962593516
Wraith King,34,0.507462687,4.975757037,67,67,63,271,0.167082294,0.157107232,0.675810474
Viper,2,0.285714286,2.856338899,7,7,4,390,0.017456359,0.009975062,0.972568579
Disruptor,7,0.24137931,2.456438389,29,29,14,358,0.072319202,0.034912718,0.89276808
Underlord,7,0.333333333,3.203521611,21,21,19,361,0.052369077,0.047381546,0.900249377
Phoenix,26,0.604651163,3.580379052,43,43,25,333,0.10723192,0.06234414,0.83042394
Luna,9,0.391304348,3.703243616,23,23,26,352,0.057356608,0.064837905,0.877805486
Clockwerk,28,0.482758621,3.27718561,58,58,70,273,0.144638404,0.174563591,0.680798005
