,time,radiant_win
14,10,1.0
11,15,0.625
10,20,0.8333333333333334
2,25,0.7333333333333333
4,30,0.6206896551724138
3,35,0.5428571428571428
7,40,0.42105263157894735
1,45,0.5135135135135135
5,50,0.3448275862068966
8,55,0.43478260869565216
6,60,0.5
0,65,0.25
13,70,0.3333333333333333
9,75,0.0
12,80,0.0
